Web Search interest: explosion
San Francisco-Oakland-San Jose CA (United States) Los Angeles CA (United States) San Diego CA (United States) New York NY (United States)
Jan 2009 - Jan 2012

Interest over time
Week,San Francisco-Oakland-San Jose CA,Los Angeles CA,San Diego CA,New York NY
2009-01-04 - 2009-01-10,8,12,14,11
2009-01-11 - 2009-01-17,9,13,11,11
2009-01-18 - 2009-01-24,8,10,15,10
2009-01-25 - 2009-01-31,16,21,21,23
2009-02-01 - 2009-02-07,16,19,22,22
2009-02-08 - 2009-02-14,13,13,16,12
2009-02-15 - 2009-02-21,10,13,12,12
2009-02-22 - 2009-02-28,10,12,12,11
2009-03-01 - 2009-03-07,13,15,21,12
2009-03-08 - 2009-03-14,11,13,15,14
2009-03-15 - 2009-03-21,8,18,16,13
2009-03-22 - 2009-03-28,9,14,11,14
2009-03-29 - 2009-04-04,12,12,13,11
2009-04-05 - 2009-04-11,9,10,17,10
2009-04-12 - 2009-04-18,8,10,17,10
2009-04-19 - 2009-04-25,9,14,10,19
2009-04-26 - 2009-05-02,8,13,11,16
2009-05-03 - 2009-05-09,10,12,18,12
2009-05-10 - 2009-05-16,11,14,12,14
2009-05-17 - 2009-05-23,10,12,17,13
2009-05-24 - 2009-05-30,10,16,17,20
2009-05-31 - 2009-06-06,19,15,14,14
2009-06-07 - 2009-06-13,13,15,15,14
2009-06-14 - 2009-06-20,10,12,13,12
2009-06-21 - 2009-06-27,9,11,6,10
2009-06-28 - 2009-07-04,8,12,11,13
2009-07-05 - 2009-07-11,10,12,11,12
2009-07-12 - 2009-07-18,10,15,9,13
2009-07-19 - 2009-07-25,10,12,14,10
2009-07-26 - 2009-08-01,9,10,9,12
2009-08-02 - 2009-08-08,9,9,12,11
2009-08-09 - 2009-08-15,7,12,16,10
2009-08-16 - 2009-08-22,9,11,17,10
2009-08-23 - 2009-08-29,9,10,11,9
2009-08-30 - 2009-09-05,10,10,9,12
2009-09-06 - 2009-09-12,9,16,12,10
2009-09-13 - 2009-09-19,9,12,17,12
2009-09-20 - 2009-09-26,8,10,11,10
2009-09-27 - 2009-10-03,8,11,18,10
2009-10-04 - 2009-10-10,11,17,19,12
2009-10-11 - 2009-10-17,12,11,11,11
2009-10-18 - 2009-10-24,12,18,22,29
2009-10-25 - 2009-10-31,9,14,15,16
2009-11-01 - 2009-11-07,10,13,16,10
2009-11-08 - 2009-11-14,10,13,20,9
2009-11-15 - 2009-11-21,10,10,17,11
2009-11-22 - 2009-11-28,8,12,12,15
2009-11-29 - 2009-12-05,9,16,9,12
2009-12-06 - 2009-12-12,9,15,23,18
2009-12-13 - 2009-12-19,8,11,20,12
2009-12-20 - 2009-12-26,8,10,22,12
2009-12-27 - 2010-01-02,9,12,7,11
2010-01-03 - 2010-01-09,8,11,7,11
2010-01-10 - 2010-01-16,8,13,17,13
2010-01-17 - 2010-01-23,9,12,15,15
2010-01-24 - 2010-01-30,9,13,22,15
2010-01-31 - 2010-02-06,8,14,14,14
2010-02-07 - 2010-02-13,15,23,30,58
2010-02-14 - 2010-02-20,9,12,18,14
2010-02-21 - 2010-02-27,7,13,16,12
2010-02-28 - 2010-03-06,8,13,12,13
2010-03-07 - 2010-03-13,9,12,15,12
2010-03-14 - 2010-03-20,8,12,15,12
2010-03-21 - 2010-03-27,8,11,19,13
2010-03-28 - 2010-04-03,11,20,19,23
2010-04-04 - 2010-04-10,11,22,25,32
2010-04-11 - 2010-04-17,9,14,28,18
2010-04-18 - 2010-04-24,16,23,36,25
2010-04-25 - 2010-05-01,14,25,29,23
2010-05-02 - 2010-05-08,13,18,29,27
2010-05-09 - 2010-05-15,10,17,12,17
2010-05-16 - 2010-05-22,9,15,25,16
2010-05-23 - 2010-05-29,12,27,23,16
2010-05-30 - 2010-06-05,9,22,17,19
2010-06-06 - 2010-06-12,14,23,27,25
2010-06-13 - 2010-06-19,11,28,24,15
2010-06-20 - 2010-06-26,9,14,9,16
2010-06-27 - 2010-07-03,9,15,19,13
2010-07-04 - 2010-07-10,8,13,12,11
2010-07-11 - 2010-07-17,9,21,19,13
2010-07-18 - 2010-07-24,7,14,24,15
2010-07-25 - 2010-07-31,10,17,10,14
2010-08-01 - 2010-08-07,7,12,14,13
2010-08-08 - 2010-08-14,9,12,15,15
2010-08-15 - 2010-08-21,8,12,17,11
2010-08-22 - 2010-08-28,6,11,11,11
2010-08-29 - 2010-09-04,15,30,50,38
2010-09-05 - 2010-09-11,83,72,100,29
2010-09-12 - 2010-09-18,30,36,50,24
2010-09-19 - 2010-09-25,12,14,36,15
2010-09-26 - 2010-10-02,10,16,25,14
2010-10-03 - 2010-10-09,9,16,19,13
2010-10-10 - 2010-10-16,9,15,10,12
2010-10-17 - 2010-10-23,7,15,18,11
2010-10-24 - 2010-10-30,8,16,14,11
2010-10-31 - 2010-11-06,10,12,17,12
2010-11-07 - 2010-11-13,8,13,15,16
2010-11-14 - 2010-11-20,15,25,46,24
2010-11-21 - 2010-11-27,9,15,23,12
2010-11-28 - 2010-12-04,7,15,16,12
2010-12-05 - 2010-12-11,9,15,21,15
2010-12-12 - 2010-12-18,8,15,15,13
2010-12-19 - 2010-12-25,13,12,21,14
2010-12-26 - 2011-01-01,9,15,20,15
2011-01-02 - 2011-01-08,11,11,17,14
2011-01-09 - 2011-01-15,11,12,13,10
2011-01-16 - 2011-01-22,13,16,13,18
2011-01-23 - 2011-01-29,25,25,33,26
2011-01-30 - 2011-02-05,14,13,14,12
2011-02-06 - 2011-02-12,20,14,16,25
2011-02-13 - 2011-02-19,12,11,15,11
2011-02-20 - 2011-02-26,12,11,12,12
2011-02-27 - 2011-03-05,11,11,19,11
2011-03-06 - 2011-03-12,23,20,31,18
2011-03-13 - 2011-03-19,52,40,49,34
2011-03-20 - 2011-03-26,16,19,15,17
2011-03-27 - 2011-04-02,15,13,17,13
2011-04-03 - 2011-04-09,18,16,13,11
2011-04-10 - 2011-04-16,16,14,16,14
2011-04-17 - 2011-04-23,12,10,12,10
2011-04-24 - 2011-04-30,16,13,12,19
2011-05-01 - 2011-05-07,19,11,14,13
2011-05-08 - 2011-05-14,13,12,11,12
2011-05-15 - 2011-05-21,19,21,14,14
2011-05-22 - 2011-05-28,20,12,12,14
2011-05-29 - 2011-06-04,19,12,13,13
2011-06-05 - 2011-06-11,17,23,19,15
2011-06-12 - 2011-06-18,9,14,14,12
2011-06-19 - 2011-06-25,10,10,13,10
2011-06-26 - 2011-07-02,10,11,24,9
2011-07-03 - 2011-07-09,14,13,19,11
2011-07-10 - 2011-07-16,14,12,22,13
2011-07-17 - 2011-07-23,31,23,35,28
2011-07-24 - 2011-07-30,13,11,13,14
2011-07-31 - 2011-08-06,11,10,10,10
2011-08-07 - 2011-08-13,11,18,15,11
2011-08-14 - 2011-08-20,12,10,14,9
2011-08-21 - 2011-08-27,14,12,13,12
2011-08-28 - 2011-09-03,24,10,17,15
2011-09-04 - 2011-09-10,19,14,15,16
2011-09-11 - 2011-09-17,22,13,16,17
2011-09-18 - 2011-09-24,14,12,12,11
2011-09-25 - 2011-10-01,15,12,15,12
2011-10-02 - 2011-10-08,11,11,14,11
2011-10-09 - 2011-10-15,10,12,10,10
2011-10-16 - 2011-10-22,11,11,12,9
2011-10-23 - 2011-10-29,14,12,14,10
2011-10-30 - 2011-11-05,20,11,12,11
2011-11-06 - 2011-11-12,15,13,13,12
