Category: All categories

Week,2010 San Bruno pipeline explosion: (San Francisco-Oakland-San Jose CA),2010 San Bruno pipeline explosion: (Los Angeles CA),2010 San Bruno pipeline explosion: (San Diego CA),2010 San Bruno pipeline explosion: (New York NY)
2010-01-02,0,0,0,0
2010-01-09,1,0,0,0
2010-01-16,0,0,0,0
2010-01-23,0,0,0,0
2010-01-30,0,0,0,0
2010-02-06,0,0,0,0
2010-02-13,0,0,0,0
2010-02-20,1,0,0,0
2010-02-27,1,0,0,0
2010-03-06,1,0,0,0
2010-03-13,1,0,0,0
2010-03-20,1,0,0,0
2010-03-27,1,0,0,0
2010-04-03,1,0,0,0
2010-04-10,1,0,0,0
2010-04-17,1,0,0,0
2010-04-24,1,0,0,0
2010-05-01,1,0,0,0
2010-05-08,1,0,0,0
2010-05-15,1,0,0,0
2010-05-22,1,0,0,0
2010-05-29,1,0,0,0
2010-06-05,1,0,0,0
2010-06-12,0,0,0,0
2010-06-19,0,0,0,0
2010-06-26,0,0,0,0
2010-07-03,0,0,0,0
2010-07-10,0,0,0,0
2010-07-17,0,0,0,0
2010-07-24,0,0,0,0
2010-07-31,0,0,0,0
2010-08-07,0,0,0,0
2010-08-14,0,0,0,0
2010-08-21,34,0,0,0
2010-08-28,67,0,0,0
2010-09-04,100,64,94,15
2010-09-11,37,27,48,7
2010-09-18,8,4,6,1
2010-09-25,2,3,8,2
2010-10-02,1,1,6,1
2010-10-09,1,2,6,1
2010-10-16,1,2,6,1
2010-10-23,1,2,6,1
2010-10-30,1,2,5,1
2010-11-06,1,1,5,1
2010-11-13,1,1,6,1
2010-11-20,1,1,13,1
2010-11-27,0,1,5,1
2010-12-04,1,1,0,1
2010-12-11,1,1,0,1
2010-12-18,1,1,0,1
2010-12-25,0,1,0,0
