Web Search interest: "san bruno"
San Francisco-Oakland-San Jose CA (United States) Los Angeles CA (United States) San Diego CA (United States) New York NY (United States)
Jan 2009 - Jan 2012

Interest over time
Week,San Francisco-Oakland-San Jose CA,Los Angeles CA,San Diego CA,New York NY
2009-01-04 - 2009-01-10,9,1,1,0
2009-01-11 - 2009-01-17,9,0,1,0
2009-01-18 - 2009-01-24,8,1,1,0
2009-01-25 - 2009-01-31,8,1,1,0
2009-02-01 - 2009-02-07,8,1,1,0
2009-02-08 - 2009-02-14,7,1,1,0
2009-02-15 - 2009-02-21,8,1,1,0
2009-02-22 - 2009-02-28,9,0,2,0
2009-03-01 - 2009-03-07,8,1,1,0
2009-03-08 - 2009-03-14,8,1,1,0
2009-03-15 - 2009-03-21,9,1,1,0
2009-03-22 - 2009-03-28,8,1,1,0
2009-03-29 - 2009-04-04,7,1,1,0
2009-04-05 - 2009-04-11,8,1,1,0
2009-04-12 - 2009-04-18,7,1,1,0
2009-04-19 - 2009-04-25,7,1,1,0
2009-04-26 - 2009-05-02,8,1,1,0
2009-05-03 - 2009-05-09,8,1,1,0
2009-05-10 - 2009-05-16,7,1,1,0
2009-05-17 - 2009-05-23,7,0,1,0
2009-05-24 - 2009-05-30,7,1,1,0
2009-05-31 - 2009-06-06,8,1,1,0
2009-06-07 - 2009-06-13,8,1,1,0
2009-06-14 - 2009-06-20,8,1,1,0
2009-06-21 - 2009-06-27,8,1,1,0
2009-06-28 - 2009-07-04,8,1,2,0
2009-07-05 - 2009-07-11,7,1,1,0
2009-07-12 - 2009-07-18,8,1,1,0
2009-07-19 - 2009-07-25,7,1,1,0
2009-07-26 - 2009-08-01,7,1,1,0
2009-08-02 - 2009-08-08,8,1,1,0
2009-08-09 - 2009-08-15,9,1,1,0
2009-08-16 - 2009-08-22,7,1,1,0
2009-08-23 - 2009-08-29,7,1,1,0
2009-08-30 - 2009-09-05,8,1,1,0
2009-09-06 - 2009-09-12,6,1,1,0
2009-09-13 - 2009-09-19,7,0,1,0
2009-09-20 - 2009-09-26,8,1,1,0
2009-09-27 - 2009-10-03,7,1,1,0
2009-10-04 - 2009-10-10,7,1,1,0
2009-10-11 - 2009-10-17,7,0,1,0
2009-10-18 - 2009-10-24,6,1,1,0
2009-10-25 - 2009-10-31,6,1,2,0
2009-11-01 - 2009-11-07,6,1,1,0
2009-11-08 - 2009-11-14,6,1,2,0
2009-11-15 - 2009-11-21,7,1,1,0
2009-11-22 - 2009-11-28,6,1,1,0
2009-11-29 - 2009-12-05,6,1,1,0
2009-12-06 - 2009-12-12,5,1,1,0
2009-12-13 - 2009-12-19,5,1,2,0
2009-12-20 - 2009-12-26,7,1,3,0
2009-12-27 - 2010-01-02,7,0,1,0
2010-01-03 - 2010-01-09,7,1,1,0
2010-01-10 - 2010-01-16,6,0,1,0
2010-01-17 - 2010-01-23,7,1,1,0
2010-01-24 - 2010-01-30,6,1,1,0
2010-01-31 - 2010-02-06,6,1,1,0
2010-02-07 - 2010-02-13,7,1,1,0
2010-02-14 - 2010-02-20,6,1,1,0
2010-02-21 - 2010-02-27,6,1,1,0
2010-02-28 - 2010-03-06,5,1,1,0
2010-03-07 - 2010-03-13,6,1,2,0
2010-03-14 - 2010-03-20,6,1,1,0
2010-03-21 - 2010-03-27,5,1,1,0
2010-03-28 - 2010-04-03,7,1,1,0
2010-04-04 - 2010-04-10,6,1,2,0
2010-04-11 - 2010-04-17,6,1,1,0
2010-04-18 - 2010-04-24,6,1,1,0
2010-04-25 - 2010-05-01,6,1,1,0
2010-05-02 - 2010-05-08,6,1,1,0
2010-05-09 - 2010-05-15,6,1,1,0
2010-05-16 - 2010-05-22,6,1,1,0
2010-05-23 - 2010-05-29,5,1,1,0
2010-05-30 - 2010-06-05,5,1,1,0
2010-06-06 - 2010-06-12,5,1,1,0
2010-06-13 - 2010-06-19,6,1,1,0
2010-06-20 - 2010-06-26,6,1,1,0
2010-06-27 - 2010-07-03,5,1,2,0
2010-07-04 - 2010-07-10,5,1,1,0
2010-07-11 - 2010-07-17,5,1,1,0
2010-07-18 - 2010-07-24,5,1,1,0
2010-07-25 - 2010-07-31,6,1,1,0
2010-08-01 - 2010-08-07,5,1,1,0
